GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,PopDensity2010,PopDensity2000,PopDensity1990,,Poverty Rate 1990,Poverty Rate 2000,Poverty Rate 2010,,PercentDem1990,PercentDem2000,PercentDem2012,,
0400000US01,1,Alabama,0500000US01001,1001,Autauga County,91.8,73.6,57.2,,15.7,10.9,11.6,,0.287,0.237,0.266,1001,0
0400000US01,1,Alabama,0500000US01003,1003,Baldwin County,114.6,88.3,61.2,,14.3,10.1,13.3,,0.248,0.225,0.216,1003,0
0400000US01,1,Alabama,0500000US01005,1005,Barbour County,31,32.8,28,,25.2,26.8,26.1,,0.499,0.448,0.514,1005,0
0400000US01,1,Alabama,0500000US01007,1007,Bibb County,36.8,31.9,26.2,,21.2,20.6,16.5,,0.382,0.275,0.262,1007,0
0400000US01,1,Alabama,0500000US01009,1009,Blount County,88.9,79.1,60.4,,15.3,11.7,14.7,,0.277,0.183,0.124,1009,0
0400000US01,1,Alabama,0500000US01011,1011,Bullock County,17.5,18.6,16.6,,36.5,33.5,22.2,,0.692,0.681,0.763,1011,0
0400000US01,1,Alabama,0500000US01013,1013,Butler County,27,27.5,27.9,,31.5,24.6,25.7,,0.462,0.406,0.461,1013,0
0400000US01,1,Alabama,0500000US01015,1015,Calhoun County,195.7,184.7,183.2,,15.7,16.1,21.4,,0.406,0.333,0.335,1015,0
0400000US01,1,Alabama,0500000US01017,1017,Chambers County,57.4,61.4,61.1,,18.8,17,23.3,,0.475,0.410,0.470,1017,0
0400000US01,1,Alabama,0500000US01019,1019,Cherokee County,46.9,43.2,35.2,,17.6,15.6,19.5,,0.447,0.336,0.218,1019,0
0400000US01,1,Alabama,0500000US01021,1021,Chilton County,63,57.2,46.3,,17.1,15.7,18.6,,0.318,0.226,0.195,1021,0
0400000US01,1,Alabama,0500000US01023,1023,Choctaw County,15.2,17.5,17.4,,30.2,24.5,20.2,,0.503,0.457,0.475,1023,0
0400000US01,1,Alabama,0500000US01025,1025,Clarke County,20.9,22.5,21.7,,25.9,22.6,26.4,,0.435,0.406,0.457,1025,0
0400000US01,1,Alabama,0500000US01027,1027,Clay County,23.1,23.6,21.6,,17.4,17.1,19.8,,0.348,0.288,0.267,1027,0
0400000US01,1,Alabama,0500000US01029,1029,Cleburne County,26.7,25.2,22.6,,15.3,13.9,18,,0.327,0.240,0.154,1029,0
0400000US01,1,Alabama,0500000US01031,1031,Coffee County,73.6,64.3,58.6,,15.5,14.7,17.1,,0.338,0.254,0.249,1031,0
0400000US01,1,Alabama,0500000US01033,1033,Colbert County,91.8,92.8,86.6,,14.6,14,16.2,,0.490,0.443,0.392,1033,0
0400000US01,1,Alabama,0500000US01035,1035,Conecuh County,15.6,16.6,16.4,,29.7,26.6,30.4,,0.501,0.452,0.506,1035,0
0400000US01,1,Alabama,0500000US01037,1037,Coosa County,17.7,18.2,16.7,,18.2,14.9,20.2,,0.461,0.411,0.416,1037,0
0400000US01,1,Alabama,0500000US01039,1039,Covington County,36.6,36.5,35.1,,22,18.4,20.9,,0.326,0.234,0.205,1039,0
0400000US01,1,Alabama,0500000US01041,1041,Crenshaw County,22.8,22.4,22.1,,24.3,22.1,18.4,,0.403,0.309,0.319,1041,0
0400000US01,1,Alabama,0500000US01043,1043,Cullman County,109.4,105.4,90.8,,15.3,13,18.6,,0.330,0.229,0.147,1043,0
0400000US01,1,Alabama,0500000US01045,1045,Dale County,89.6,87.5,84,,14.8,15.1,16,,0.310,0.246,0.285,1045,0
0400000US01,1,Alabama,0500000US01047,1047,Dallas County,44.8,47.4,48.2,,36.2,31.1,36.5,,0.594,0.602,0.697,1047,0
0400000US01,1,Alabama,0500000US01049,1049,DeKalb County,91.5,82.9,69.6,,17.4,15.4,19.5,,0.348,0.294,0.220,1049,0
0400000US01,1,Alabama,0500000US01051,1051,Elmore County,128.2,106.4,74.1,,14.5,10.2,13,,0.279,0.226,0.252,1051,0
0400000US01,1,Alabama,0500000US01053,1053,Escambia County,40.5,40.7,36.1,,28.1,20.9,24.9,,0.388,0.308,0.369,1053,0
0400000US01,1,Alabama,0500000US01055,1055,Etowah County,195.2,193.4,184.1,,16.5,15.7,18.8,,0.443,0.359,0.301,1055,0
0400000US01,1,Alabama,0500000US01057,1057,Fayette County,27.5,29.5,28.3,,20.3,17.3,19.1,,0.392,0.301,0.229,1057,0
0400000US01,1,Alabama,0500000US01059,1059,Franklin County,50,49.3,43.3,,20.7,18.9,19.8,,0.432,0.368,0.292,1059,0
0400000US01,1,Alabama,0500000US01061,1061,Geneva County,46.6,44.7,40.9,,19.5,19.6,20,,0.290,0.201,0.180,1061,0
0400000US01,1,Alabama,0500000US01063,1063,Greene County,14,15.3,15.5,,45.6,34.3,32.9,,0.797,0.793,0.847,1063,0
0400000US01,1,Alabama,0500000US01065,1065,Hale County,24.5,28.4,23.6,,35.6,26.9,27.7,,0.602,0.583,0.626,1065,0
0400000US01,1,Alabama,0500000US01067,1067,Henry County,30.8,29,27,,17.4,19.1,16,,0.401,0.333,0.352,1067,0
0400000US01,1,Alabama,0500000US01069,1069,Houston County,175.1,153.2,138.6,,16.5,15,17.7,,0.294,0.253,0.295,1069,0
0400000US01,1,Alabama,0500000US01071,1071,Jackson County,49.4,50,44.1,,16.6,13.7,16.2,,0.506,0.425,0.283,1071,0
